Time,Ambient_temp,Irradiance,PV_temp,PV_input_current(A),PV_input_voltage(V),PV_no.
2021-02-01 00:00:00,25.7,0.0,24.2,0.0,0.0,10
2021-02-01 00:15:00,25.3,0.0,23.3,0.0,0.0,10
2021-02-01 00:30:00,25.6,0.0,22.6,0.0,0.0,10
2021-02-01 00:45:00,25.5,0.0,23.5,0.0,0.0,10
2021-02-01 01:00:00,24.5,0.0,23.0,0.0,0.0,10
2021-02-01 01:15:00,24.4,0.0,22.9,0.0,0.0,10
2021-02-01 01:30:00,24.7,0.0,23.3,0.0,0.0,10
2021-02-01 01:45:00,23.8,0.0,22.7,0.0,0.0,10
2021-02-01 02:00:00,23.1,0.0,22.2,0.0,0.0,10
2021-02-01 02:15:00,23.4,0.0,21.7,0.0,0.0,10
2021-02-01 02:30:00,23.5,0.0,21.2,0.0,0.0,10
2021-02-01 02:45:00,24.0,0.0,21.5,0.0,0.0,10
2021-02-01 03:00:00,24.1,0.0,21.2,0.0,0.0,10
2021-02-01 03:15:00,24.4,0.0,22.9,0.0,0.0,10
2021-02-01 03:30:00,24.5,0.0,23.3,0.0,0.0,10
2021-02-01 03:45:00,24.1,0.0,22.6,0.0,0.0,10
2021-02-01 04:00:00,24.2,0.0,22.8,0.0,0.0,10
2021-02-01 04:15:00,24.4,0.0,22.9,0.0,0.0,10
2021-02-01 04:30:00,24.4,0.0,23.4,0.0,0.0,10
2021-02-01 04:45:00,24.1,0.0,22.9,0.0,0.0,10
2021-02-01 05:00:00,23.8,0.0,22.6,0.0,0.0,10
2021-02-01 05:15:00,23.7,0.0,21.8,0.0,0.0,10
2021-02-01 05:30:00,23.4,0.0,22.0,0.0,0.0,10
2021-02-01 05:45:00,23.1,0.0,21.1,0.0,0.0,10
2021-02-01 06:00:00,22.3,0.0,21.3,0.0,0.0,10
2021-02-01 06:15:00,22.8,0.0,21.3,0.0,0.0,10
2021-02-01 06:30:00,23.0,0.0,21.4,0.0,0.0,10
2021-02-01 06:45:00,23.0,0.0,21.5,0.03,505.0,10
2021-02-01 07:00:00,23.1,0.0,22.1,0.03,663.1,10
2021-02-01 07:15:00,23.5,6.4,22.8,0.23,717.2,10
2021-02-01 07:30:00,23.8,32.1,22.4,0.43,735.7,10
2021-02-01 07:45:00,24.7,55.2,23.1,0.43,736.2,10
2021-02-01 08:00:00,25.8,80.3,25.7,0.63,746.1,10
2021-02-01 08:15:00,26.7,122.4,27.9,1.03,741.2,10
2021-02-01 08:30:00,28.7,151.7,30.0,1.23,732.2,10
2021-02-01 08:45:00,30.1,192.0,29.4,1.63,732.3,10
2021-02-01 09:00:00,31.8,211.5,31.1,1.83,717.2,10
2021-02-01 09:15:00,31.7,231.0,33.4,2.23,717.2,10
2021-02-01 09:30:00,33.6,259.1,34.2,2.83,711.2,10
2021-02-01 09:45:00,34.5,285.4,35.8,3.23,705.1,10
2021-02-01 10:00:00,35.1,304.9,36.9,3.64,699.2,10
2021-02-01 10:15:00,36.8,323.2,37.6,4.25,687.1,10
2021-02-01 10:30:00,34.4,337.9,39.1,4.65,687.2,10
2021-02-01 10:45:00,39.8,357.4,41.4,5.06,687.2,10
2021-02-01 11:00:00,36.5,362.3,41.4,5.26,681.2,10
2021-02-01 11:15:00,39.2,370.8,43.6,5.67,675.1,10
2021-02-01 11:30:00,38.1,362.3,42.3,5.68,675.2,10
2021-02-01 11:45:00,37.8,396.5,42.8,6.1,675.2,10
2021-02-01 12:00:00,36.4,384.9,46.5,6.35,670.0,10
2021-02-01 12:15:00,39.5,394.1,44.8,6.36,675.2,10
2021-02-01 12:30:00,41.3,395.3,45.2,6.36,676.1,10
2021-02-01 12:45:00,41.1,391.0,44.6,6.56,680.3,10
2021-02-01 13:00:00,40.4,395.3,43.3,6.56,669.2,10
2021-02-01 13:15:00,38.3,388.5,45.9,6.54,679.2,10
2021-02-01 13:30:00,40.5,375.1,43.9,6.46,691.1,10
2021-02-01 13:45:00,39.7,356.8,43.2,6.28,687.2,10
2021-02-01 14:00:00,38.8,352.5,42.7,6.31,677.2,10
2021-02-01 14:15:00,36.4,334.8,41.6,6.1,687.2,10
2021-02-01 14:30:00,40.2,325.7,44.0,5.86,681.2,10
2021-02-01 14:45:00,38.5,287.8,45.4,5.44,690.1,10
2021-02-01 15:00:00,38.8,282.9,42.7,5.23,687.2,10
2021-02-01 15:15:00,39.8,253.6,44.5,4.76,702.0,10
2021-02-01 15:30:00,38.7,227.4,40.6,4.54,693.1,10
2021-02-01 15:45:00,36.3,208.5,40.2,4.14,699.2,10
2021-02-01 16:00:00,35.2,177.9,38.7,3.66,694.6,10
2021-02-01 16:15:00,36.1,154.2,38.8,3.26,699.2,10
2021-02-01 16:30:00,35.1,121.2,37.7,2.65,699.2,10
2021-02-01 16:45:00,34.9,91.2,37.4,2.25,699.2,10
