Time,Ambient_temp,Irradiance,PV_temp,PV_input_current(A),PV_input_voltage(V),PV_no.
2021-02-01 00:00:00,25.7,0.0,24.2,0.0,0.0,5
2021-02-01 00:15:00,25.3,0.0,23.3,0.0,0.0,5
2021-02-01 00:30:00,25.6,0.0,22.6,0.0,0.0,5
2021-02-01 00:45:00,25.5,0.0,23.5,0.0,0.0,5
2021-02-01 01:00:00,24.5,0.0,23.0,0.0,0.0,5
2021-02-01 01:15:00,24.4,0.0,22.9,0.0,0.0,5
2021-02-01 01:30:00,24.7,0.0,23.3,0.0,0.0,5
2021-02-01 01:45:00,23.8,0.0,22.7,0.0,0.0,5
2021-02-01 02:00:00,23.1,0.0,22.2,0.0,0.0,5
2021-02-01 02:15:00,23.4,0.0,21.7,0.0,0.0,5
2021-02-01 02:30:00,23.5,0.0,21.2,0.0,0.0,5
2021-02-01 02:45:00,24.0,0.0,21.5,0.0,0.0,5
2021-02-01 03:00:00,24.1,0.0,21.2,0.0,0.0,5
2021-02-01 03:15:00,24.4,0.0,22.9,0.0,0.0,5
2021-02-01 03:30:00,24.5,0.0,23.3,0.0,0.0,5
2021-02-01 03:45:00,24.1,0.0,22.6,0.0,0.0,5
2021-02-01 04:00:00,24.2,0.0,22.8,0.0,0.0,5
2021-02-01 04:15:00,24.4,0.0,22.9,0.0,0.0,5
2021-02-01 04:30:00,24.4,0.0,23.4,0.0,0.0,5
2021-02-01 04:45:00,24.1,0.0,22.9,0.0,0.0,5
2021-02-01 05:00:00,23.8,0.0,22.6,0.0,0.0,5
2021-02-01 05:15:00,23.7,0.0,21.8,0.0,0.0,5
2021-02-01 05:30:00,23.4,0.0,22.0,0.0,0.0,5
2021-02-01 05:45:00,23.1,0.0,21.1,0.0,0.0,5
2021-02-01 06:00:00,22.3,0.0,21.3,0.0,0.0,5
2021-02-01 06:15:00,22.8,0.0,21.3,0.0,0.0,5
2021-02-01 06:30:00,23.0,0.0,21.4,0.0,0.0,5
2021-02-01 06:45:00,23.0,0.0,21.5,0.0,547.3,5
2021-02-01 07:00:00,23.1,0.0,22.1,0.01,661.2,5
2021-02-01 07:15:00,23.5,6.4,22.8,0.41,704.3,5
2021-02-01 07:30:00,23.8,32.1,22.4,0.81,741.5,5
2021-02-01 07:45:00,24.7,55.2,23.1,1.21,735.4,5
2021-02-01 08:00:00,25.8,80.3,25.7,1.61,741.5,5
2021-02-01 08:15:00,26.7,122.4,27.9,2.21,751.6,5
2021-02-01 08:30:00,28.7,151.7,30.0,2.61,735.5,5
2021-02-01 08:45:00,30.1,192.0,29.4,3.22,729.5,5
2021-02-01 09:00:00,31.8,211.5,31.1,3.84,714.0,5
2021-02-01 09:15:00,31.7,231.0,33.4,4.24,714.1,5
2021-02-01 09:30:00,33.6,259.1,34.2,4.67,711.4,5
2021-02-01 09:45:00,34.5,285.4,35.8,5.11,705.4,5
